"refseq_gene_id","ensembl_gene_id","external_gene_name","entrezgene"
"NM_001145806","ENSMUSG00000038599","Capn8",170725
"NM_001145807","ENSMUSG00000035131","Brinp3",215378
"NM_001145813","ENSMUSG00000027186","Elf5",13711
"NM_001145820","ENSMUSG00000026827","Gpd2",14571
"NM_001145821","ENSMUSG00000035778","Ggta1",14594
"NM_001145824","ENSMUSG00000027177","Hipk3",15259
"NM_001145826","ENSMUSG00000033444","Specc1l",74392
"NM_001145827","ENSMUSG00000042608","Stk40",74178
"NM_001145830","ENSMUSG00000051177","Plcb1",18795
"NM_001145831","ENSMUSG00000031788","Kifc3",16582
"NM_001145832","ENSMUSG00000031788","Kifc3",16582
"NM_001145834","ENSMUSG00000026821","Ralgds",19730
"NM_001145835","ENSMUSG00000026821","Ralgds",19730
"NM_001145836","ENSMUSG00000026821","Ralgds",19730
"NM_001145854","ENSMUSG00000074923","Pak6",214230
"NM_001145857","ENSMUSG00000027253","Lrp4",228357
"NM_001145858","ENSMUSG00000054520","Sh3bp2",24055
"NM_001145859","ENSMUSG00000054520","Sh3bp2",24055
"NM_001145863","ENSMUSG00000079009","Gm14139",100271882
"NM_001145874","ENSMUSG00000035638","Muc20",224116
"NM_001145875","ENSMUSG00000058022","Adtrp",109254
"NM_001145876","ENSMUSG00000050144","Slc25a44",229517
"NM_001145877","ENSMUSG00000050144","Slc25a44",229517
"NM_001145878","ENSMUSG00000054258","Gm5082",NA
"NM_001145879","ENSMUSG00000078958","Atp6ap1l",435376
"NM_001145880","ENSMUSG00000011427","Zfp790",233056
"NM_001145881","ENSMUSG00000052763","Zfp212",232784
"NM_001145884","ENSMUSG00000022817","Itgb5",16419
"NM_001145885","ENSMUSG00000021758","Ddx4",13206
"NM_001145886","ENSMUSG00000002489","Tiam1",21844
"NM_001145887","ENSMUSG00000002489","Tiam1",21844
"NM_001145888","ENSMUSG00000022335","Zfat",380993
"NM_001145895","ENSMUSG00000068299","Nat8f4",75541
"NM_001145896","ENSMUSG00000031822","Gse1",382034
"NM_001145897","ENSMUSG00000031822","Gse1",382034
"NM_001145898","ENSMUSG00000040282","BC052040",399568
"NM_001145899","ENSMUSG00000022899","Slc15a2",57738
"NM_001145900","ENSMUSG00000002803","Btbd6",399566
"NM_001145902","ENSMUSG00000027247","Arhgap1",228359
"NM_001145919","ENSMUSG00000047213","Ythdf3",229096
"NM_001145920","ENSMUSG00000039153","Runx2",12393
"NM_001145921","ENSMUSG00000004562","Arhgef40",268739
"NM_001145922","ENSMUSG00000004562","Arhgef40",268739
"NM_001145924","ENSMUSG00000039693","Msantd3",66665
"NM_001145925","ENSMUSG00000039693","Msantd3",66665
"NM_001145926","ENSMUSG00000030329","Pianp",319352
"NM_001145927","ENSMUSG00000030329","Pianp",319352
"NM_001145929","ENSMUSG00000039759","Thap3",69876
"NM_001145930","ENSMUSG00000041215","Yeats2",208146
"NM_001145935","ENSMUSG00000045268","Zfp691",195522
"NM_001145936","ENSMUSG00000045268","Zfp691",195522
